project_id,project_name,state,district,subdivision,block,project_type,contractor,je_incharge,ae_incharge,original_cost_cr,original_duration_months,elapsed_months,cumulative_expenditure_cr,physical_progress_pct,delayed_milestones_count,revisions_count,land_acquisition_risk_score,material_inflation_idx,planned_progress_pct,schedule_variance_pct,spend_burn_rate,cost_overrun_pct,time_overrun_months
BHR_SIT_2026_0014,National/State Highway 4-Lane Road Work - Sitamarhi East Block (Sitamarhi),Bihar,Sitamarhi,Sitamarhi Sadar Sub-Division,Sitamarhi East Block,National/State Highway 4-Lane Road Work,Tata Projects Ltd.,"Er. Manoj Tiwary (Site Camp, Sitamarhi East Block)","Er. Rajeshwar Prasad (Div Office, Sitamarhi)",2255.7,50,8,212.05,8.2,2,3,6.1,116.4,16.0,-7.8,26.51,68.4,41.2
BHR_SAR_2026_0015,National/State Highway 4-Lane Road Work - Saran (Chhapra) Central (Saran (Chhapra)),Bihar,Saran (Chhapra),Saran (Chhapra) Sadar Sub-Division,Saran (Chhapra) Central,National/State Highway 4-Lane Road Work,L&T Infrastructure Limited,"Er. A. K. Mishra (Site Camp, Saran (Chhapra) Central)","Er. Rajeshwar Prasad (Div Office, Saran (Chhapra))",425.01,38,35,385.1,87.1,3,1,3.6,126.5,92.1,-5.0,11.0,46.7,24.3
BHR_SAH_2026_0016,Railway Overbridge (ROB) & Flyover Construction - Saharsa Rural Area (Saharsa),Bihar,Saharsa,Saharsa Rural Sub-Division,Saharsa Rural Area,Railway Overbridge (ROB) & Flyover Construction,GVR Infra Projects,"Er. Manoj Tiwary (Site Camp, Saharsa Rural Area)","Er. M. P. Sinha (Div Office, Saharsa)",3106.91,42,27,2285.69,63.6,6,0,3.6,125.3,64.3,-0.7,84.66,38.5,24.4
BHR_MUN_2026_0017,Railway Overbridge (ROB) & Flyover Construction - Munger Central (Munger),Bihar,Munger,Munger Sadar Sub-Division,Munger Central,Railway Overbridge (ROB) & Flyover Construction,Dilip Buildcon Ltd.,"Er. R. K. Singh (Site Camp, Munger Central)","Er. Rajeshwar Prasad (Div Office, Munger)",3152.49,54,36,1978.76,62.0,3,0,7.5,112.2,66.7,-4.7,54.97,29.1,19.4
BHR_PAT_2026_0018,National/State Highway 4-Lane Road Work - Dhanarua (Patna),Bihar,Patna,Masaurhi Sub-Div,Dhanarua,National/State Highway 4-Lane Road Work,Tata Projects Ltd.,"Er. Vikash Kumar (Site Camp, Dhanarua)","Er. Sunil Verma (Div Office, Patna)",2663.02,18,4,387.98,14.7,1,2,7.1,123.5,22.2,-7.6,97.0,54.2,35.8
BHR_PAT_2026_0019,National/State Highway 4-Lane Road Work - Ghoswari (Patna),Bihar,Patna,Barh Sub-Div,Ghoswari,National/State Highway 4-Lane Road Work,Dilip Buildcon Ltd.,"Er. R. K. Singh (Site Camp, Ghoswari)","Er. M. P. Sinha (Div Office, Patna)",1397.86,45,8,107.17,7.4,2,1,8.2,118.4,17.8,-10.4,13.4,55.6,29.4
BHR_BEG_2026_0020,Railway Double Line & Track Electrification Work - Begusarai South Block (Begusarai),Bihar,Begusarai,Begusarai Rural Sub-Division,Begusarai South Block,Railway Double Line & Track Electrification Work,Dilip Buildcon Ltd.,"Er. Vikash Kumar (Site Camp, Begusarai South Block)","Er. Sunil Verma (Div Office, Begusarai)",1517.34,36,35,1744.25,92.3,1,1,3.2,125.6,97.2,-4.9,49.84,35.8,18.6
BHR_SHE_2026_0021,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Sheohar Sadar (Sheohar),Bihar,Sheohar,Sheohar Sadar Sub-Division,Sheohar Sadar,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,Dilip Buildcon Ltd.,"Er. Manoj Tiwary (Site Camp, Sheohar Sadar)","Er. M. P. Sinha (Div Office, Sheohar)",3145.33,29,6,746.39,19.1,1,0,5.5,109.2,20.7,-1.6,124.4,14.9,15.5
BHR_EAS_2026_0022,Railway Overbridge (ROB) & Flyover Construction - Tetariya (East Champaran (Motihari)),Bihar,East Champaran (Motihari),Chakia Sub-Div,Tetariya,Railway Overbridge (ROB) & Flyover Construction,Afcons Infrastructure,"Er. A. K. Mishra (Site Camp, Tetariya)","Er. K. K. Jha (Div Office, East Champaran (Motihari))",1101.54,24,7,284.11,24.4,1,0,9.3,124.4,29.2,-4.8,40.59,41.2,16.3
BHR_SUP_2026_0023,Urban Storm Drainage & Flood Embankment Protection - Supaul North Block (Supaul),Bihar,Supaul,Supaul Rural Sub-Division,Supaul North Block,Urban Storm Drainage & Flood Embankment Protection,Patel Engineering,"Er. S. N. Pandey (Site Camp, Supaul North Block)","Er. K. K. Jha (Div Office, Supaul)",1020.88,30,26,708.51,76.1,5,0,8.9,110.7,86.7,-10.6,27.25,45.6,34.0
BHR_KAT_2026_0024,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Katihar Sadar (Katihar),Bihar,Katihar,Katihar Sadar Sub-Division,Katihar Sadar,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,NCC Limited,"Er. Manoj Tiwary (Site Camp, Katihar Sadar)","Er. Sunil Verma (Div Office, Katihar)",2348.91,38,39,3035.74,98.0,4,1,6.5,129.2,100.0,-2.0,77.84,53.3,31.6
BHR_DAR_2026_0025,Railway Overbridge (ROB) & Flyover Construction - Alinagar (Darbhanga),Bihar,Darbhanga,Benipur Sub-Div,Alinagar,Railway Overbridge (ROB) & Flyover Construction,Afcons Infrastructure,"Er. Vikash Kumar (Site Camp, Alinagar)","Er. Rajeshwar Prasad (Div Office, Darbhanga)",685.11,46,40,366.56,44.6,5,1,6.1,119.3,87.0,-42.3,9.16,63.3,47.9
BHR_JAM_2026_0026,Railway Overbridge (ROB) & Flyover Construction - Jamui South Block (Jamui),Bihar,Jamui,Jamui Rural Sub-Division,Jamui South Block,Railway Overbridge (ROB) & Flyover Construction,Tata Projects Ltd.,"Er. Manoj Tiwary (Site Camp, Jamui South Block)","Er. Rajeshwar Prasad (Div Office, Jamui)",2854.55,25,32,3426.95,92.6,2,0,3.5,123.9,100.0,-7.4,107.09,31.5,13.9
BHR_MAD_2026_0027,Urban Storm Drainage & Flood Embankment Protection - Madhubani South Block (Madhubani),Bihar,Madhubani,Madhubani Rural Sub-Division,Madhubani South Block,Urban Storm Drainage & Flood Embankment Protection,Bihar Dynamic Infra - Joint Venture,"Er. Manoj Tiwary (Site Camp, Madhubani South Block)","Er. Sunil Verma (Div Office, Madhubani)",3774.32,54,39,2878.75,53.3,4,1,8.9,109.4,72.2,-18.9,73.81,56.1,42.7
BHR_ROH_2026_0028,Railway Overbridge (ROB) & Flyover Construction - Rohtas South Block (Rohtas),Bihar,Rohtas,Rohtas Rural Sub-Division,Rohtas South Block,Railway Overbridge (ROB) & Flyover Construction,Afcons Infrastructure,"Er. Manoj Tiwary (Site Camp, Rohtas South Block)","Er. M. P. Sinha (Div Office, Rohtas)",987.29,45,31,412.05,41.5,1,0,5.7,126.1,68.9,-27.4,13.29,35.1,20.2
BHR_KIS_2026_0029,Urban Storm Drainage & Flood Embankment Protection - Kishanganj Central (Kishanganj),Bihar,Kishanganj,Kishanganj Sadar Sub-Division,Kishanganj Central,Urban Storm Drainage & Flood Embankment Protection,NCC Limited,"Er. Vikash Kumar (Site Camp, Kishanganj Central)","Er. K. K. Jha (Div Office, Kishanganj)",2388.97,19,13,2245.27,68.6,0,0,5.4,132.3,68.4,0.2,172.71,19.9,12.1
BHR_JAM_2026_0030,National/State Highway 4-Lane Road Work - Jamui East Block (Jamui),Bihar,Jamui,Jamui Sadar Sub-Division,Jamui East Block,National/State Highway 4-Lane Road Work,L&T Infrastructure Limited,"Er. R. K. Singh (Site Camp, Jamui East Block)","Er. Sunil Verma (Div Office, Jamui)",1664.09,18,24,887.14,38.9,7,0,3.8,136.6,100.0,-61.1,36.96,65.7,48.4
BHR_SAR_2026_0031,Railway Overbridge (ROB) & Flyover Construction - Saran (Chhapra) Rural Area (Saran (Chhapra)),Bihar,Saran (Chhapra),Saran (Chhapra) Rural Sub-Division,Saran (Chhapra) Rural Area,Railway Overbridge (ROB) & Flyover Construction,NCC Limited,"Er. S. N. Pandey (Site Camp, Saran (Chhapra) Rural Area)","Er. M. P. Sinha (Div Office, Saran (Chhapra))",1968.3,20,21,2200.53,94.7,3,0,7.9,126.6,100.0,-5.3,104.79,37.4,26.1
BHR_WES_2026_0032,Railway Overbridge (ROB) & Flyover Construction - West Champaran (Bettiah) South Block (West Champaran (Bettiah)),Bihar,West Champaran (Bettiah),West Champaran (Bettiah) Rural Sub-Division,West Champaran (Bettiah) South Block,Railway Overbridge (ROB) & Flyover Construction,Tata Projects Ltd.,"Er. R. K. Singh (Site Camp, West Champaran (Bettiah) South Block)","Er. Rajeshwar Prasad (Div Office, West Champaran (Bettiah))",1581.69,44,37,914.85,49.9,5,2,6.2,115.7,84.1,-34.2,24.73,76.0,50.7
BHR_GAY_2026_0033,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Sherghati (Gaya),Bihar,Gaya,Sherghati Sub-Div,Sherghati,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,Tata Projects Ltd.,"Er. A. K. Mishra (Site Camp, Sherghati)","Er. Rajeshwar Prasad (Div Office, Gaya)",656.72,25,7,92.81,13.4,3,0,3.3,113.1,28.0,-14.6,13.26,25.6,18.4
BHR_GOP_2026_0034,Railway Overbridge (ROB) & Flyover Construction - Gopalganj South Block (Gopalganj),Bihar,Gopalganj,Gopalganj Rural Sub-Division,Gopalganj South Block,Railway Overbridge (ROB) & Flyover Construction,Bihar Dynamic Infra - Joint Venture,"Er. R. K. Singh (Site Camp, Gopalganj South Block)","Er. Sunil Verma (Div Office, Gopalganj)",619.93,43,48,322.79,57.5,3,0,3.0,134.0,100.0,-42.5,6.72,47.5,25.7
BHR_MUZ_2026_0035,Railway Overbridge (ROB) & Flyover Construction - Katra (Muzaffarpur),Bihar,Muzaffarpur,Muzaffarpur West Sub-Div,Katra,Railway Overbridge (ROB) & Flyover Construction,Bihar Dynamic Infra - Joint Venture,"Er. R. K. Singh (Site Camp, Katra)","Er. K. K. Jha (Div Office, Muzaffarpur)",2878.27,31,10,1046.77,26.8,1,2,5.3,119.9,32.3,-5.5,104.68,51.3,26.8
BHR_KHA_2026_0036,Railway Overbridge (ROB) & Flyover Construction - Khagaria East Block (Khagaria),Bihar,Khagaria,Khagaria Sadar Sub-Division,Khagaria East Block,Railway Overbridge (ROB) & Flyover Construction,Tata Projects Ltd.,"Er. S. N. Pandey (Site Camp, Khagaria East Block)","Er. M. P. Sinha (Div Office, Khagaria)",2103.97,42,20,670.61,28.1,3,1,6.6,125.6,47.6,-19.5,33.53,48.7,36.0
BHR_SIT_2026_0037,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Sitamarhi Central (Sitamarhi),Bihar,Sitamarhi,Sitamarhi Sadar Sub-Division,Sitamarhi Central,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,Patel Engineering,"Er. Manoj Tiwary (Site Camp, Sitamarhi Central)","Er. Sunil Verma (Div Office, Sitamarhi)",3750.78,54,60,1763.49,51.6,1,0,4.2,116.6,100.0,-48.4,29.39,38.1,23.0
BHR_NAL_2026_0038,Railway Overbridge (ROB) & Flyover Construction - Nalanda East Block (Nalanda),Bihar,Nalanda,Nalanda Sadar Sub-Division,Nalanda East Block,Railway Overbridge (ROB) & Flyover Construction,Bihar Dynamic Infra - Joint Venture,"Er. A. K. Mishra (Site Camp, Nalanda East Block)","Er. Sunil Verma (Div Office, Nalanda)",2252.39,28,7,285.82,8.8,5,2,4.3,137.0,25.0,-16.2,40.83,69.7,43.6
BHR_ARA_2026_0039,Urban Storm Drainage & Flood Embankment Protection - Araria South Block (Araria),Bihar,Araria,Araria Rural Sub-Division,Araria South Block,Urban Storm Drainage & Flood Embankment Protection,Tata Projects Ltd.,"Er. A. K. Mishra (Site Camp, Araria South Block)","Er. Rajeshwar Prasad (Div Office, Araria)",1997.28,53,16,384.0,21.8,1,0,9.4,117.7,30.2,-8.4,24.0,32.7,23.4
BHR_DAR_2026_0040,National/State Highway 4-Lane Road Work - Kiratpur (Darbhanga),Bihar,Darbhanga,Biraul Sub-Div,Kiratpur,National/State Highway 4-Lane Road Work,NCC Limited,"Er. S. N. Pandey (Site Camp, Kiratpur)","Er. M. P. Sinha (Div Office, Darbhanga)",3255.16,31,14,1419.05,45.5,0,1,6.7,133.3,45.2,0.3,101.36,42.2,17.4
BHR_SIW_2026_0041,Urban Storm Drainage & Flood Embankment Protection - Siwan Sadar (Siwan),Bihar,Siwan,Siwan Sadar Sub-Division,Siwan Sadar,Urban Storm Drainage & Flood Embankment Protection,Dilip Buildcon Ltd.,"Er. Manoj Tiwary (Site Camp, Siwan Sadar)","Er. Sunil Verma (Div Office, Siwan)",1010.27,31,29,968.39,92.2,5,1,5.9,125.3,93.5,-1.4,33.39,49.3,29.9
BHR_BHA_2026_0042,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Sanokhar (Bhagalpur),Bihar,Bhagalpur,Kahalgaon Sub-Div,Sanokhar,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,Tata Projects Ltd.,"Er. S. N. Pandey (Site Camp, Sanokhar)","Er. Rajeshwar Prasad (Div Office, Bhagalpur)",1372.41,32,32,1238.28,69.7,5,0,7.6,122.8,100.0,-30.3,38.7,53.0,38.6
BHR_NAL_2026_0043,Urban Storm Drainage & Flood Embankment Protection - Nalanda Rural Area (Nalanda),Bihar,Nalanda,Nalanda Rural Sub-Division,Nalanda Rural Area,Urban Storm Drainage & Flood Embankment Protection,NCC Limited,"Er. R. K. Singh (Site Camp, Nalanda Rural Area)","Er. Sunil Verma (Div Office, Nalanda)",2120.49,46,50,1771.68,63.6,0,1,6.7,129.5,100.0,-36.4,35.43,57.2,30.1
BHR_WES_2026_0044,Railway Overbridge (ROB) & Flyover Construction - West Champaran (Bettiah) Rural Area (West Champaran (Bettiah)),Bihar,West Champaran (Bettiah),West Champaran (Bettiah) Rural Sub-Division,West Champaran (Bettiah) Rural Area,Railway Overbridge (ROB) & Flyover Construction,Patel Engineering,"Er. R. K. Singh (Site Camp, West Champaran (Bettiah) Rural Area)","Er. Rajeshwar Prasad (Div Office, West Champaran (Bettiah))",3607.58,29,29,3164.21,76.0,1,2,9.1,125.0,100.0,-24.0,109.11,69.5,40.4
BHR_ROH_2026_0045,National/State Highway 4-Lane Road Work - Rohtas East Block (Rohtas),Bihar,Rohtas,Rohtas Sadar Sub-Division,Rohtas East Block,National/State Highway 4-Lane Road Work,Tata Projects Ltd.,"Er. A. K. Mishra (Site Camp, Rohtas East Block)","Er. Rajeshwar Prasad (Div Office, Rohtas)",1698.08,46,17,885.5,37.1,1,3,8.5,111.7,37.0,0.1,52.09,72.5,39.8
BHR_DAR_2026_0046,National/State Highway 4-Lane Road Work - Biraul (Darbhanga),Bihar,Darbhanga,Benipur Sub-Div,Biraul,National/State Highway 4-Lane Road Work,NCC Limited,"Er. Manoj Tiwary (Site Camp, Biraul)","Er. Sunil Verma (Div Office, Darbhanga)",166.91,58,38,80.61,41.2,4,0,5.9,112.2,65.5,-24.3,2.12,40.5,27.2
BHR_SHE_2026_0047,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Sheohar Sadar (Sheohar),Bihar,Sheohar,Sheohar Sadar Sub-Division,Sheohar Sadar,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,NCC Limited,"Er. Manoj Tiwary (Site Camp, Sheohar Sadar)","Er. Rajeshwar Prasad (Div Office, Sheohar)",2457.76,45,24,1336.99,37.9,4,0,5.0,119.9,53.3,-15.4,55.71,42.7,25.2
BHR_SAH_2026_0048,Railway Overbridge (ROB) & Flyover Construction - Saharsa Rural Area (Saharsa),Bihar,Saharsa,Saharsa Rural Sub-Division,Saharsa Rural Area,Railway Overbridge (ROB) & Flyover Construction,Bihar Dynamic Infra - Joint Venture,"Er. A. K. Mishra (Site Camp, Saharsa Rural Area)","Er. K. K. Jha (Div Office, Saharsa)",1223.26,19,25,878.43,65.9,2,2,9.1,119.2,100.0,-34.1,35.14,75.3,43.2
BHR_ROH_2026_0049,Urban Storm Drainage & Flood Embankment Protection - Rohtas South Block (Rohtas),Bihar,Rohtas,Rohtas Rural Sub-Division,Rohtas South Block,Urban Storm Drainage & Flood Embankment Protection,Patel Engineering,"Er. S. N. Pandey (Site Camp, Rohtas South Block)","Er. Sunil Verma (Div Office, Rohtas)",1639.14,20,27,921.17,48.7,4,1,8.2,137.7,100.0,-51.3,34.12,83.1,50.1
BHR_VAI_2026_0050,Railway Overbridge (ROB) & Flyover Construction - Vaishali (Hajipur) North Block (Vaishali (Hajipur)),Bihar,Vaishali (Hajipur),Vaishali (Hajipur) Rural Sub-Division,Vaishali (Hajipur) North Block,Railway Overbridge (ROB) & Flyover Construction,GVR Infra Projects,"Er. S. N. Pandey (Site Camp, Vaishali (Hajipur) North Block)","Er. Sunil Verma (Div Office, Vaishali (Hajipur))",197.46,24,4,15.0,8.3,2,2,8.3,118.3,16.7,-8.4,3.75,58.5,33.9
BHR_BEG_2026_0051,National/State Highway 4-Lane Road Work - Begusarai East Block (Begusarai),Bihar,Begusarai,Begusarai Sadar Sub-Division,Begusarai East Block,National/State Highway 4-Lane Road Work,L&T Infrastructure Limited,"Er. R. K. Singh (Site Camp, Begusarai East Block)","Er. Rajeshwar Prasad (Div Office, Begusarai)",1741.86,52,55,2249.61,98.0,1,3,6.1,113.5,100.0,-2.0,40.9,67.9,29.0
BHR_NAW_2026_0052,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Nawada Sadar (Nawada),Bihar,Nawada,Nawada Sadar Sub-Division,Nawada Sadar,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,L&T Infrastructure Limited,"Er. R. K. Singh (Site Camp, Nawada Sadar)","Er. Sunil Verma (Div Office, Nawada)",1689.22,43,32,598.97,35.0,0,2,3.8,125.3,74.4,-39.4,18.72,60.3,28.5
BHR_MUZ_2026_0053,Urban Storm Drainage & Flood Embankment Protection - Kanti (Muzaffarpur),Bihar,Muzaffarpur,Muzaffarpur East Sub-Div,Kanti,Urban Storm Drainage & Flood Embankment Protection,Tata Projects Ltd.,"Er. Manoj Tiwary (Site Camp, Kanti)","Er. K. K. Jha (Div Office, Muzaffarpur)",1112.45,48,9,179.99,16.2,4,1,5.7,118.6,18.8,-2.6,20.0,47.5,29.8
BHR_GAY_2026_0054,National/State Highway 4-Lane Road Work - Khizirsarai (Gaya),Bihar,Gaya,Neemchak Bathani Sub-Div,Khizirsarai,National/State Highway 4-Lane Road Work,Afcons Infrastructure,"Er. Manoj Tiwary (Site Camp, Khizirsarai)","Er. K. K. Jha (Div Office, Gaya)",2783.59,57,38,2048.32,67.6,2,0,6.5,112.9,66.7,1.0,53.9,26.7,17.7
BHR_SIT_2026_0055,Railway Overbridge (ROB) & Flyover Construction - Sitamarhi East Block (Sitamarhi),Bihar,Sitamarhi,Sitamarhi Sadar Sub-Division,Sitamarhi East Block,Railway Overbridge (ROB) & Flyover Construction,Afcons Infrastructure,"Er. Manoj Tiwary (Site Camp, Sitamarhi East Block)","Er. Sunil Verma (Div Office, Sitamarhi)",539.08,26,11,224.96,36.4,2,2,8.2,128.8,42.3,-5.9,20.45,66.0,32.7
BHR_KHA_2026_0056,National/State Highway 4-Lane Road Work - Khagaria North Block (Khagaria),Bihar,Khagaria,Khagaria Rural Sub-Division,Khagaria North Block,National/State Highway 4-Lane Road Work,GVR Infra Projects,"Er. Manoj Tiwary (Site Camp, Khagaria North Block)","Er. K. K. Jha (Div Office, Khagaria)",825.74,33,27,734.01,72.1,7,1,3.3,125.6,81.8,-9.7,27.19,51.1,37.3
BHR_DAR_2026_0057,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Ghanshyampur (Darbhanga),Bihar,Darbhanga,Biraul Sub-Div,Ghanshyampur,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,Patel Engineering,"Er. R. K. Singh (Site Camp, Ghanshyampur)","Er. K. K. Jha (Div Office, Darbhanga)",3596.57,35,34,4519.41,92.6,2,1,4.5,111.6,97.1,-4.5,132.92,36.3,21.3
BHR_MUZ_2026_0058,National/State Highway 4-Lane Road Work - Aurai (Muzaffarpur),Bihar,Muzaffarpur,Muzaffarpur West Sub-Div,Aurai,National/State Highway 4-Lane Road Work,Afcons Infrastructure,"Er. S. N. Pandey (Site Camp, Aurai)","Er. Rajeshwar Prasad (Div Office, Muzaffarpur)",2115.17,39,28,1529.15,62.2,3,3,3.0,113.6,71.8,-9.6,54.61,65.4,38.2
BHR_SAH_2026_0059,Railway Double Line & Track Electrification Work - Saharsa North Block (Saharsa),Bihar,Saharsa,Saharsa Rural Sub-Division,Saharsa North Block,Railway Double Line & Track Electrification Work,Patel Engineering,"Er. S. N. Pandey (Site Camp, Saharsa North Block)","Er. Sunil Verma (Div Office, Saharsa)",2440.39,27,33,1728.99,64.2,2,0,4.9,116.9,100.0,-35.8,52.39,31.9,22.8
